TrackId,Code,Team,Q1,Q2,Q3,Grid,Position
1.0,HAM,McLaren,1:26.572,1:25.187,1:26.714,1.0,1
2.0,HAM,McLaren,1:35.392,1:34.627,1:36.709,9.0,5
3.0,HAM,McLaren,1:32.750,1:31.922,1:33.292,3.0,13
4.0,HAM,McLaren,1:21.366,1:20.825,1:22.096,5.0,3
5.0,HAM,McLaren,1:26.192,1:26.477,1:27.923,3.0,2
6.0,HAM,McLaren,1:15.582,1:15.322,1:15.839,3.0,1
7.0,HAM,McLaren,1:16.909,1:17.034,1:17.886,1.0,\N
8.0,HAM,McLaren,1:15.634,1:15.293,1:16.693,13.0,10
9.0,HAM,McLaren,1:20.288,1:19.537,1:21.835,4.0,1
10.0,HAM,McLaren,1:15.218,1:14.603,1:15.666,1.0,1
11.0,HAM,McLaren,1:19.376,1:19.473,1:20.899,1.0,5
12.0,HAM,McLaren,1:38.464,1:37.954,1:39.199,2.0,2
13.0,HAM,McLaren,1:46.887,1:46.088,1:47.338,1.0,3
14.0,HAM,McLaren,1:35.394,1:39.265,\N,15.0,7
15.0,HAM,McLaren,1:44.501,1:44.932,1:45.465,2.0,3
16.0,HAM,McLaren,1:18.071,1:17.462,1:18.404,1.0,12
17.0,HAM,McLaren,1:35.566,1:34.947,1:36.303,1.0,1
18.0,HAM,McLaren,1:12.213,1:11.856,1:12.830,4.0,5
1.0,ALO,McLaren,1:26.697,1:25.326,1:26.493,2.0,2
1.0,HAM,McLaren,1:26.674,1:25.577,1:26.755,4.0,3
2.0,ALO,McLaren,1:34.942,1:34.057,1:35.310,2.0,1
2.0,HAM,McLaren,1:35.028,1:34.650,1:36.045,4.0,2
3.0,HAM,McLaren,1:32.580,1:31.752,1:32.935,2.0,2
3.0,ALO,McLaren,1:33.049,1:32.214,1:33.192,4.0,5
4.0,ALO,McLaren,1:21.609,1:20.797,1:21.451,2.0,3
4.0,HAM,McLaren,1:21.120,1:20.713,1:21.785,4.0,2
6.0,ALO,McLaren,1:16.059,1:15.431,1:15.726,1.0,1
6.0,HAM,McLaren,1:15.685,1:15.479,1:15.905,2.0,2
7.0,HAM,McLaren,1:16.576,1:15.486,1:15.707,1.0,1
7.0,ALO,McLaren,1:16.562,1:15.522,1:16.163,2.0,7
19.0,HAM,McLaren,1:12.563,1:12.065,1:12.331,1.0,1
19.0,ALO,McLaren,1:12.416,1:11.926,1:12.500,2.0,2
8.0,HAM,McLaren,1:14.805,1:14.795,1:15.104,2.0,3
8.0,ALO,McLaren,1:15.322,1:15.084,\N,10.0,7
9.0,HAM,McLaren,1:19.885,1:19.400,1:19.997,1.0,3
